"","edibility","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachement","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_type","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"1218","edible","flat","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1219","edible","flat","fibrous","white","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1220","edible","flat","fibrous","white","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1221","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"1222","edible","convex","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1223","edible","convex","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1224","edible","flat","fibrous","brown","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1225","edible","flat","scaly","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1226","edible","convex","fibrous","white","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1227","edible","convex","smooth","red","yes","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","green","partial","white","one","pendant","brown","several","wood"
"1228","edible","convex","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1229","poisonous","convex","scaly","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"1230","edible","convex","smooth","brown","yes","none","free","close","broad","white","tapering","bulbous","smooth","smooth","green","gray","partial","white","one","pendant","black","solitary","wood"
"1231","edible","convex","fibrous","brown","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1232","poisonous","flat","smooth","white","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"1233","edible","flat","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1234","edible","convex","fibrous","white","no","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1235","edible","flat","scaly","brown","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1236","edible","flat","fibrous","gray","no","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1237","edible","flat","scaly","gray","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1238","edible","flat","fibrous","gray","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1239","edible","convex","scaly","gray","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1240","edible","convex","scaly","brown","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1241","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","urban"
"1242","edible","convex","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1243","poisonous","convex","scaly","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"1244","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","urban"
"1245","edible","flat","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1246","edible","convex","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1247","edible","flat","scaly","gray","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1248","edible","convex","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1249","edible","flat","fibrous","gray","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1250","edible","flat","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1251","edible","convex","smooth","gray","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","green","partial","white","one","pendant","brown","solitary","wood"
"1252","edible","convex","fibrous","brown","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","wood"
"1253","edible","flat","scaly","white","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1254","poisonous","flat","smooth","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"1255","poisonous","flat","smooth","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"1256","edible","convex","scaly","white","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1257","poisonous","flat","scaly","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"1258","edible","flat","fibrous","brown","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1259","edible","flat","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1260","poisonous","flat","scaly","brown","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"1261","poisonous","flat","smooth","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"1262","poisonous","flat","smooth","brown","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"1263","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"1264","edible","convex","scaly","white","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1265","edible","convex","fibrous","brown","yes","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","green","partial","white","one","pendant","brown","several","wood"
"1266","edible","flat","scaly","white","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1267","edible","flat","fibrous","gray","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1268","poisonous","flat","smooth","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","urban"
"1269","edible","convex","scaly","white","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1270","edible","convex","smooth","red","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","green","purple","partial","white","one","pendant","brown","solitary","wood"
"1271","edible","flat","scaly","gray","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1272","edible","convex","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1273","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"1274","edible","flat","fibrous","brown","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1275","edible","convex","fibrous","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1276","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","urban"
"1277","edible","convex","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1278","edible","flat","fibrous","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1279","edible","convex","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1280","edible","flat","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1281","edible","bell","smooth","yellow","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"1282","edible","convex","scaly","gray","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1283","edible","convex","fibrous","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1284","edible","convex","scaly","brown","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1285","edible","convex","fibrous","brown","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1286","edible","flat","fibrous","gray","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1287","poisonous","convex","smooth","brown","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","urban"
"1288","edible","flat","scaly","gray","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1289","edible","convex","fibrous","brown","yes","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","purple","gray","partial","white","one","pendant","black","solitary","wood"
"1290","edible","flat","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1291","edible","convex","fibrous","brown","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","wood"
"1292","edible","convex","fibrous","gray","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1293","edible","convex","fibrous","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1294","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"1295","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"1296","edible","convex","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1297","edible","convex","fibrous","brown","yes","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","green","partial","white","one","pendant","brown","several","wood"
"1298","edible","convex","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1299","edible","convex","smooth","yellow","yes","almond","free","close","broad","white","enlarging","rooted","smooth","scaly","purple","purple","partial","white","one","pendant","black","scattered","paths"
"1300","edible","flat","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1301","edible","convex","scaly","white","no","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1302","edible","convex","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1303","edible","flat","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1304","edible","convex","fibrous","brown","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","wood"
"1305","edible","flat","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1306","edible","flat","scaly","gray","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1307","edible","flat","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1308","edible","flat","scaly","white","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1309","edible","flat","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1310","edible","flat","scaly","gray","no","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1311","edible","flat","fibrous","white","no","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1312","edible","flat","scaly","brown","no","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1313","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"1314","edible","convex","fibrous","gray","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1315","edible","bell","smooth","yellow","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"1316","edible","flat","fibrous","brown","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1317","edible","flat","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1318","edible","convex","fibrous","brown","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","purple","gray","partial","white","one","pendant","black","solitary","wood"
"1319","edible","bell","scaly","yellow","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"1320","edible","convex","scaly","white","no","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1321","edible","flat","fibrous","brown","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","purple","green","partial","white","one","pendant","brown","solitary","wood"
"1322","poisonous","convex","scaly","white","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"1323","edible","flat","fibrous","white","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1324","poisonous","flat","smooth","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","urban"
"1325","edible","convex","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1326","edible","flat","scaly","brown","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1327","edible","bell","scaly","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"1328","edible","flat","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1329","edible","convex","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1330","edible","flat","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1331","edible","convex","fibrous","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1332","edible","flat","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1333","poisonous","flat","scaly","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"1334","edible","flat","fibrous","gray","no","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1335","edible","flat","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1336","edible","convex","fibrous","brown","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","green","gray","partial","white","one","pendant","black","solitary","wood"
"1337","edible","convex","scaly","brown","no","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1338","edible","convex","fibrous","red","yes","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","purple","green","partial","white","one","pendant","brown","solitary","wood"
"1339","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"1340","edible","flat","fibrous","white","no","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1341","edible","convex","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1342","edible","flat","fibrous","brown","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1343","poisonous","flat","scaly","white","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","urban"
"1344","edible","flat","fibrous","gray","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","purple","gray","partial","white","one","pendant","brown","solitary","wood"
"1345","edible","flat","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1346","edible","flat","fibrous","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1347","poisonous","flat","smooth","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","grasses"
"1348","edible","convex","scaly","white","no","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1349","edible","convex","fibrous","brown","yes","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","purple","partial","white","one","pendant","brown","solitary","wood"
"1350","edible","convex","smooth","gray","yes","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","purple","green","partial","white","one","pendant","brown","several","wood"
"1351","edible","convex","smooth","gray","yes","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","purple","gray","partial","white","one","pendant","brown","several","wood"
"1352","edible","flat","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1353","edible","flat","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1354","edible","flat","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1355","edible","convex","scaly","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1356","edible","flat","fibrous","white","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1357","edible","convex","fibrous","brown","no","none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1358","edible","flat","fibrous","white","no","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1359","edible","flat","fibrous","brown","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1360","edible","flat","scaly","white","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1361","edible","flat","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1362","poisonous","flat","smooth","brown","yes","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","urban"
"1363","edible","flat","fibrous","white","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1364","edible","flat","scaly","white","no","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1365","edible","convex","fibrous","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1366","edible","flat","fibrous","white","no","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1367","edible","convex","fibrous","gray","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1368","edible","flat","scaly","brown","no","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1369","edible","convex","fibrous","gray","yes","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","wood"
"1370","edible","flat","fibrous","white","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1371","edible","flat","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1372","edible","convex","scaly","brown","no","none","free","crowded","broad","pink","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1373","edible","convex","fibrous","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1374","edible","bell","scaly","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"1375","poisonous","convex","smooth","brown","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"1376","poisonous","flat","scaly","brown","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"1377","edible","flat","fibrous","white","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1378","edible","flat","fibrous","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1379","poisonous","flat","smooth","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"1380","edible","flat","fibrous","brown","no","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","scattered","grasses"
"1381","poisonous","convex","scaly","white","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"1382","edible","flat","scaly","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"1383","poisonous","flat","smooth","white","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"1384","edible","flat","scaly","brown","no","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1385","edible","flat","scaly","gray","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1386","edible","convex","fibrous","gray","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"1387","edible","flat","fibrous","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1388","edible","convex","fibrous","gray","yes","none","free","close","broad","white","tapering","bulbous","smooth","smooth","purple","green","partial","white","one","pendant","brown","several","wood"
"1389","edible","convex","fibrous","brown","yes","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","green","partial","white","one","pendant","black","several","wood"
"1390","edible","convex","fibrous","brown","no","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1391","edible","convex","fibrous","gray","yes","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","purple","partial","white","one","pendant","black","solitary","wood"
"1392","edible","convex","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","scattered","grasses"
"1393","edible","flat","scaly","white","no","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
