Functional,BldgType,Foundation,LotShape,LandSlope,SaleCondition,RoofMatl,ScreenPorch,MSSubClass,GarageCars,Id,BedroomAbvGr,TotalBsmtSF,LotArea,OpenPorchSF,BsmtFullBath,WoodDeckSF,OverallCond,YrSold,GrLivArea,MoSold,TotRmsAbvGrd,PoolArea,YearBuilt,GarageArea,OverallQual,Fireplaces,SalePrice,EnclosedPorch,FullBath,HalfBath
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,20,3,1167,3,1694,10475,33,0,160,5,2010,1694,2,7,0,2008,776,8,0,245350,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,90,70,2,1169,4,1127,13728,0,0,0,7,2008,2108,7,7,0,1935,540,6,2,235000,0,2,0
Typ,TwnhsE,PConc,IR1,Gtl,Normal,CompShg,0,160,2,1173,2,625,4017,54,0,0,5,2008,1250,3,5,0,2006,625,7,0,171900,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,50,2,1176,4,1683,10678,33,0,0,5,2007,2872,4,9,0,1992,541,8,1,285000,0,2,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,1,1177,3,876,6951,0,1,362,5,2008,923,10,5,0,1984,264,5,0,119500,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,50,1,1178,3,818,3950,0,0,0,8,2009,1224,12,5,0,1926,210,6,0,115000,116,1,0
Min2,1Fam,Slab,Reg,Gtl,Normal,CompShg,0,20,0,1180,3,0,8335,36,0,0,5,2006,1124,4,5,0,1954,0,5,1,93000,190,1,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,50,1,1186,4,784,9738,0,1,0,7,2006,1221,3,7,0,1924,392,5,0,104900,236,1,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,50,1,1193,3,702,9600,0,0,0,8,2007,1472,7,6,0,1925,250,5,0,125000,84,1,0
Typ,TwnhsE,PConc,Reg,Gtl,Normal,CompShg,0,120,2,1194,2,1224,4500,304,1,0,5,2009,1224,6,5,0,1999,402,6,0,165000,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,20,1,1201,3,864,9353,0,0,0,5,2006,864,7,5,0,1970,280,4,0,116050,0,1,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,50,1,1203,3,884,6000,0,1,0,8,2009,1348,5,5,0,1925,216,5,1,117000,208,1,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,2,1208,3,1682,9135,23,1,192,5,2006,1700,5,7,0,2003,544,6,0,200000,0,2,0
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,1,1216,3,894,7094,0,0,0,5,2007,894,5,5,0,1966,384,5,0,125000,0,1,0
Typ,Duplex,Slab,Reg,Gtl,Normal,CompShg,0,90,2,1233,2,0,9842,0,0,0,5,2007,1224,3,6,0,1962,462,4,0,101800,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,20,2,1240,2,1476,9037,33,0,120,5,2007,1484,12,6,0,2006,472,8,1,265900,0,2,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,147,80,2,1246,3,585,12090,112,0,268,7,2007,1868,1,7,0,1984,477,6,1,178000,0,3,1
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,60,2,1247,3,756,8125,45,0,0,5,2006,1553,3,6,0,2005,615,7,0,186500,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,50,2,1275,3,661,5362,0,0,242,6,2007,1250,11,8,0,1910,552,5,1,139000,81,2,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,50,2,1280,2,698,7500,0,0,30,4,2010,1128,4,6,0,1920,528,4,0,68400,164,1,0
Typ,1Fam,CBlock,IR1,Mod,Normal,CompShg,0,20,2,1288,4,1624,36500,198,0,168,5,2006,1582,6,7,0,1964,390,5,0,190000,0,2,0
Typ,Twnhs,CBlock,Reg,Gtl,Normal,CompShg,0,160,1,1292,3,630,1680,0,0,185,7,2009,1302,2,6,0,1972,264,5,0,119500,0,2,1
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,1301,3,978,10762,0,0,0,5,2009,1983,5,9,0,1999,490,7,1,225000,0,2,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,224,70,1,1302,3,771,7500,0,0,0,7,2009,1494,11,7,0,1942,213,6,2,177500,0,1,0
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,20,2,1312,3,1274,8814,98,1,264,5,2007,1274,1,6,0,2005,508,7,0,203000,0,2,0
Typ,1Fam,BrkTil,Reg,Mod,Normal,CompShg,0,30,0,1327,3,544,4270,0,0,0,6,2007,774,5,6,0,1931,0,3,0,79000,286,1,0
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,80,2,1332,3,911,10780,0,0,0,5,2006,954,7,6,0,1976,576,5,0,132500,0,1,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,70,0,1350,4,684,5250,54,0,0,5,2008,2358,12,8,0,1872,0,8,0,122000,20,2,0
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,70,2,1361,4,612,9842,0,0,183,6,2008,2601,5,8,0,1921,621,5,0,189000,301,3,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,2,1366,3,814,7500,96,1,0,5,2010,1674,1,7,0,2000,663,7,0,216000,0,2,1
Typ,1Fam,BrkTil,Reg,Gtl,Normal,CompShg,0,30,2,1384,3,816,25339,0,0,0,7,2007,1416,8,7,0,1918,576,5,0,112000,112,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,1402,3,839,7415,75,1,100,5,2008,1593,4,8,0,2004,398,6,1,193000,0,2,1
Min2,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,50,1,1412,3,856,9600,0,0,0,8,2009,1668,9,6,0,1950,271,6,0,140000,0,1,1
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,3,1418,3,1284,16545,126,1,0,5,2009,2450,5,7,0,1998,1069,8,1,340000,0,2,1
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,1427,3,1223,10944,132,1,171,5,2008,2127,8,5,0,1994,525,7,2,271000,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,30,1,1429,2,788,7200,0,1,0,7,2010,804,2,4,0,1940,240,5,2,119000,154,1,0
Typ,1Fam,PConc,IR3,Gtl,Normal,CompShg,0,60,2,1431,4,732,21930,40,0,100,5,2006,1838,7,7,0,2005,372,5,1,192140,0,2,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,2,1448,3,1220,10000,65,1,0,5,2007,2090,12,8,0,1995,556,8,1,240000,0,2,1
Min2,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,50,1,1449,2,560,11767,24,0,168,7,2007,1346,5,6,0,1910,384,4,0,112000,0,1,1
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,2,1455,2,1221,7500,113,1,0,5,2009,1221,10,6,0,2004,400,7,0,185000,0,2,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,60,2,1456,3,953,7917,40,0,0,5,2007,1647,8,7,0,1999,460,6,1,175000,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,1,1460,3,1256,9937,68,1,736,6,2008,1256,6,6,0,1965,276,5,0,147500,0,1,1
